Gender,Who are you?,"Have you ever used any artificial intelligence related any application, device or service ?","Do you believe Artificial Intelligence can make your life easier in daily activities, (for example smart home is a concept which can save time & effort on daily activities.) ","If you can, Will you buy a robot to make your life easier?",Do you like to have your own robot like a friend to deal with you every time in life ? (for example Alexa or Siri ) ,"AI services, robot or any AI application will collect your personal data. Do you believe the personal information collected,  will make you suspicious?","Do you believe the personal information collected by AI device,  will use to threaten you?","Do you believe the personal information collected by AI device,  will expose your daily life cycle to digital world?","Do you think by using AI devices or services, your privacy is always at risk?","Do you believe,  you should have the control to decide how is the privacy information is using in AI devices? ","Do you think, you need to know how much data gather  by AI devices to give you a better service experience ?","Do you agree it is better, if you could decide, how AI device should share data with other people or consumer brands? ",Do you believe  you have to think twice before share privacy data with AI device (robot) ?,Do you think there should be privacy regulation guidelines & filling forums should be presented  to customer before procced to use AI consumer products?,"Do you believe Artificial Intelligence can make your life easier in daily activities, (for example smart home is a concept which can save time & effort on daily activities.) ","If yes, which kind of ? ","How many times do you go to any retail, grocery or super market in a week ?","Do you believe,  you should have the control to decide how is the privacy information is using in AI devices? ",
1,1,1,1,1,1,5,5,5,5,5,5,5,5,1,1,2,2,1,1
1,2,1,1,1,1,4,4,4,4,4,4,4,4,1,1,2,2,1,1
1,1,1,1,1,1,4,5,5,3,3,5,4,4,1,1,1,2,1,3
2,1,1,1,1,1,4,4,3,4,4,4,4,4,1,1,2,4,1,1
2,1,1,1,1,1,4,4,4,4,4,4,4,4,1,1,2,2,1,1
1,1,2,1,1,1,5,4,5,5,4,4,5,4,1,1,1,2,1,1
2,2,2,1,1,1,5,5,5,5,5,5,5,5,1,1,2,2,1,1
1,1,1,1,1,1,5,5,4,3,5,4,5,5,1,1,1,2,1,1
2,2,1,1,1,2,5,4,4,5,5,3,4,3,1,1,2,2,1,1
1,2,2,2,2,1,3,3,3,3,3,3,3,3,1,1,2,2,1,1
1,2,2,2,2,1,3,5,5,4,5,5,5,5,1,1,1,2,1,1
1,2,2,1,2,2,3,5,5,3,5,5,3,3,2,1,2,2,1,1
2,1,2,2,2,1,3,5,3,4,5,5,5,5,1,1,2,2,1,1
2,1,1,1,1,1,5,5,5,5,5,5,5,5,1,1,2,4,1,1
2,2,1,1,1,1,4,3,4,4,2,5,4,5,1,1,1,2,1,1
1,2,2,1,1,1,4,4,2,3,3,5,2,2,1,1,2,4,1,1
2,2,1,1,1,1,4,5,5,4,4,4,4,4,1,1,2,2,1,1
1,1,2,1,1,1,3,5,4,5,4,4,4,4,1,1,2,2,1,1
2,1,1,1,1,1,5,5,5,5,5,5,5,5,1,1,2,4,1,1
1,1,2,1,1,1,3,5,4,5,4,4,4,4,1,1,2,2,1,1
1,1,1,1,1,1,5,5,5,5,5,5,5,5,1,1,2,2,1,1
1,2,1,1,1,1,5,5,5,5,5,5,5,5,1,1,1,3,1,2
2,2,1,1,1,1,5,5,5,5,5,5,5,5,1,1,2,2,1,1
1,2,1,1,1,1,5,4,4,4,4,4,4,4,1,1,2,2,1,1
1,2,1,1,2,1,4,5,5,4,4,4,4,4,1,1,2,2,1,1
2,1,1,2,1,1,4,4,4,4,4,4,3,3,1,1,2,2,1,1
1,2,1,1,1,1,4,4,4,4,4,3,3,5,1,1,2,1,1,3
,,,2,2,2,3,3,3,3,3,3,3,3,2,,1,,,
,,,2,1,1,3,3,3,3,3,3,3,3,2,,1,,,
2,1,1,1,1,1,5,5,4,5,5,5,5,5,1,1,1,2,1,1
2,2,1,1,1,1,5,5,5,5,5,5,5,5,1,1,1,2,1,1
1,2,2,2,1,1,4,4,4,4,4,4,4,4,1,1,2,2,1,1
2,1,2,2,1,1,4,5,4,4,4,4,4,4,1,1,1,4,1,1
2,2,1,1,1,1,4,5,2,4,4,5,5,5,1,1,2,3,1,1
,2,1,2,2,1,3,3,5,2,4,4,4,4,1,1,1,2,1,1
1,2,1,2,1,1,2,4,4,3,4,5,4,4,1,1,1,2,1,1
1,1,2,1,2,1,3,4,4,3,3,5,4,4,1,1,2,2,1,1
2,1,2,1,1,1,5,5,5,5,5,5,5,5,1,1,2,2,1,1
1,1,1,1,1,1,5,5,1,5,5,5,5,5,1,1,2,2,1,1
2,1,1,1,1,1,5,5,5,5,5,5,5,5,1,1,1,,1,1
2,1,2,2,2,1,1,1,1,5,5,4,5,4,1,1,2,3,1,1
1,1,1,1,1,1,5,4,5,5,5,5,5,5,1,1,2,2,1,1
2,1,1,1,1,1,5,5,1,4,5,5,5,5,1,1,2,2,1,2
1,1,1,1,1,1,4,4,4,4,4,4,4,4,,1,1,2,1,1
2,1,2,1,2,1,4,5,5,4,4,4,4,4,1,1,1,3,1,1
1,1,2,1,1,1,4,5,4,3,5,5,4,5,1,1,1,2,1,1
2,1,1,1,1,1,5,5,5,5,5,5,5,5,1,1,2,1,1,1
1,1,2,1,1,1,4,4,4,4,5,5,4,5,1,1,1,3,1,1
2,2,1,1,1,1,5,5,5,5,5,5,5,5,1,1,2,2,1,1
1,2,1,1,1,1,5,5,5,5,5,5,5,5,1,1,2,2,1,1
2,2,1,2,1,1,4,4,2,5,5,4,2,3,1,1,2,2,1,1
1,2,2,1,1,1,5,5,5,5,5,5,5,5,1,1,2,2,1,1
2,2,1,1,1,1,5,5,5,5,5,5,5,5,1,1,2,2,1,1
1,2,1,1,1,1,4,4,4,4,4,4,4,4,1,1,2,3,1,1
1,2,1,2,1,1,4,5,3,4,4,4,4,5,1,1,2,2,1,1
2,1,1,1,1,2,3,3,2,3,2,4,2,3,2,1,2,4,1,1
1,1,2,1,1,1,5,5,5,5,5,5,5,5,1,1,2,4,1,2
1,1,1,2,1,1,4,4,2,4,4,4,4,4,1,1,2,2,1,1
1,2,2,1,1,1,5,5,5,5,5,5,5,5,1,1,2,2,1,1
1,1,1,2,1,1,4,4,3,4,3,4,4,4,2,1,1,3,1,1
1,2,1,2,1,1,5,5,5,5,5,5,5,5,1,1,2,2,1,1
1,2,1,1,1,1,4,4,3,4,4,5,4,4,1,1,1,3,1,1
1,2,2,1,1,1,5,5,5,5,5,5,5,5,,1,2,2,1,1
1,1,1,1,1,1,5,5,5,5,5,5,5,5,1,1,2,4,1,1
2,1,2,2,1,1,5,5,5,5,5,5,5,5,1,1,1,2,1,1
1,2,1,1,1,1,5,4,4,4,4,5,5,4,1,1,1,2,1,1
1,1,1,1,1,1,5,5,5,5,5,5,5,5,1,1,2,2,1,1
2,2,2,1,1,1,5,5,5,5,5,5,5,5,1,1,2,2,1,1
2,2,2,1,1,1,5,5,5,5,5,5,5,5,1,1,2,2,1,1
2,2,2,1,1,1,5,5,5,5,5,5,5,5,1,1,2,2,1,1
2,2,2,1,1,1,5,5,5,5,5,5,5,5,1,1,2,2,1,1
2,2,2,1,1,1,5,5,5,5,5,5,5,5,1,1,2,2,1,1
1,2,1,1,1,1,5,5,5,5,5,5,5,5,1,1,2,4,1,4
1,2,2,1,1,1,5,5,5,5,5,5,5,5,1,1,2,2,1,1
2,2,2,1,1,1,5,5,5,5,5,5,5,5,1,1,2,2,1,1
2,2,1,1,1,1,5,5,5,5,5,5,5,5,1,1,2,2,1,1
2,1,1,1,1,1,5,4,4,5,5,5,5,5,1,1,2,2,1,4
2,2,1,1,1,1,5,5,5,5,5,5,5,5,1,1,2,2,1,1
2,1,1,1,1,1,5,5,5,5,5,5,5,5,1,1,2,2,1,1
1,1,1,1,1,1,5,4,5,5,5,5,5,5,1,1,2,4,1,4
2,1,1,1,1,1,5,5,5,5,5,5,5,5,1,1,2,2,1,1
1,2,1,1,1,1,5,5,5,5,5,5,5,5,1,1,2,4,1,1
1,2,1,1,1,1,5,5,5,5,5,5,5,5,1,1,2,2,1,1
2,2,2,1,1,1,5,5,5,5,5,5,5,5,1,1,2,2,1,1
2,2,2,1,1,1,5,5,5,5,5,5,5,5,1,1,2,2,1,1
2,2,2,1,1,1,5,5,5,5,5,5,5,5,1,1,2,2,1,1
2,,1,1,1,1,4,4,4,4,4,4,4,4,1,1,2,,1,2
2,2,1,1,1,1,5,5,5,5,5,5,5,5,1,1,2,2,1,1
1,2,1,2,2,1,5,2,5,5,4,5,4,4,2,1,1,2,1,1
2,1,1,1,1,1,5,5,5,5,5,5,5,5,1,1,2,4,1,1
2,1,2,1,1,1,3,5,5,3,3,5,5,5,2,1,2,2,1,1
2,2,2,1,1,1,4,5,3,4,4,5,5,5,1,1,2,4,1,4
1,1,1,1,1,1,5,5,5,5,5,5,5,5,1,1,2,2,1,4
2,1,1,1,1,1,5,5,5,5,5,5,5,5,1,1,2,2,1,4
2,1,1,1,1,1,5,5,5,5,5,5,5,5,1,1,2,2,1,2
1,2,1,1,1,1,5,5,5,5,5,5,5,5,1,1,2,3,1,1
2,1,1,1,1,1,5,5,5,5,5,5,5,5,1,1,2,4,1,4
2,1,1,1,1,1,5,4,4,4,4,4,4,4,1,1,2,4,1,4
1,1,1,1,1,1,5,5,4,5,5,5,5,5,1,1,2,3,1,2
1,2,1,1,1,1,5,5,5,5,5,5,5,5,1,1,2,4,1,1
1,2,1,1,1,1,3,4,2,3,4,4,4,4,1,1,1,4,1,1
2,1,2,1,2,1,4,5,5,4,4,4,4,4,1,1,1,3,1,1
2,1,2,1,2,1,4,5,5,4,4,4,4,4,1,1,1,3,1,1
2,2,1,1,1,1,5,5,5,5,5,5,5,5,1,1,2,3,1,1
1,2,1,2,1,1,4,5,4,4,4,4,4,4,1,1,1,2,1,1
2,2,2,1,1,1,4,5,4,4,5,5,5,5,1,1,1,2,1,1
